Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
14102,Jarurempi Kecil,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.918611111111111,136.39555555555555"
14036,Marua,"",PAPUA,Kab. NABIRE,"",,"-3.243946111111111,134.86544972222222"
14044,Roene,"",PAPUA,Kab. NABIRE,"",,"-3.0991666666666666,135.62583333333333"
14147,Paipiai,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.4736111111111112,135.12694444444446"
14134,Manufarayaf,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.9114125,136.39558027777778"
14518,Srai Mios,"",PAPUA,Kab. SUPIORI,"",,"-0.7497222222222222,135.48055555555555"
14416,Imsomdi,"",PAPUA,Kab. SUPIORI,"",,"-0.8316666666666667,135.5011111111111"
14501,Prafyabo,"",PAPUA,Kab. SUPIORI,"",,"-0.8180555555555555,135.49249999999998"
14037,Mini Nu,"",PAPUA,Kab. NABIRE,"",,"-3.100593611111111,135.5861111111111"
14537,Hrenghre,"",PAPUA,KOTA JAYAPURA ,"",,"-2.5444630555555556,140.7206675"
14179,Wanaponoi,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.9442897222222222,136.36833333333334"
14136,Manupi Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.4733333333333334,135.00972222222222"
14414,Fuar Mios,"",PAPUA,Kab. SUPIORI,"",,"-0.6672222222222222,135.6552777777778"
14237,Fuar Mios,"",PAPUA,Kab. BIAK NUMFOR,"",,"-0.9411394444444444,134.83213"
14392,Bruibekwan,"",PAPUA,Kab. SUPIORI,"",,"-0.7769397222222223,135.47562305555556"
14267,Manem,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.0945866666666666,134.78555555555556"
14493,Obsibori,"",PAPUA,Kab. SUPIORI,"",,"-0.6549005555555556,135.51982166666667"
14440,Kapisamor,"",PAPUA,Kab. SUPIORI,"",,"-0.7577777777777778,135.42583333333332"
14095,Hanana Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.659671111111111,135.4699588888889"
14180,Wandi,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.7869444444444442,135.92027777777776"
14437,Kandorwai,"",PAPUA,Kab. SUPIORI,"",,"-0.7611111111111111,135.42555555555555"
14137,Marupi,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.8755675,136.348575"
14277,Ngonakiek,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.0119547222222223,134.79389194444445"
14170,Tumamori,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.6769444444444443,135.55583333333334"
14403,Faknik Mios,"",PAPUA,Kab. SUPIORI,"",,"-0.6597222222222222,135.44444444444446"
14217,Aviak Mios,"",PAPUA,Kab. BIAK NUMFOR,"",,"-0.7147986111111111,135.78262527777778"
14524,Yabor,"",PAPUA,Kab. SUPIORI,"",,"-0.7778102777777778,135.48025694444445"
14399,Enamdi Aruri,"",PAPUA,Kab. SUPIORI,"",,"-0.7488888888888888,135.4798986111111"
14289,Pakreki,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.2355555555555555,136.52"
14317,Womofre,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.06727,134.82111833333332"
14376,Bebur Mios,"",PAPUA,Kab. SUPIORI,"",,"-0.7602777777777778,135.47083333333333"
14495,Papare,"",PAPUA,Kab. SUPIORI,"",,"-0.8011111111111111,135.52611111111113"
14231,Bukofni,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.1549999999999998,135.93166666666664"
14075,Aroya,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.6852777777777779,135.50333333333333"
14443,Kaudifu,"",PAPUA,Kab. SUPIORI,"",,"-0.6630555555555556,135.44583333333333"
14218,Awin Beba,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.1157977777777779,135.8126352777778"
14168,Tomai,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.7578741666666666,135.78804805555555"
13998,Moturaf,"",PAPUA,Kab. JAYAPURA,"",,"-2.324444444444444,140.1436111111111"
14184,Wiyoi Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.755,135.79055555555556"
14308,Sawaki,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.1538888888888887,136.2813888888889"
14190,Worondaundeni,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.6957855555555557,135.60209916666665"
14053,Waru,"",PAPUA,Kab. NABIRE,"",,"-3.086388888888889,135.5888888888889"
14059,Aimi Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.8297222222222222,136.035"
14327,Awatiri,"",PAPUA,Kab. MIMIKA,"",,"-4.888611111111111,136.78722222222223"
14165,Suandei,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.4847222222222223,135.01722222222224"
14454,Kufredi,"",PAPUA,Kab. SUPIORI,"",,"-0.6477777777777778,135.43027777777777"
14513,Snebai,"",PAPUA,Kab. SUPIORI,"",,"-0.7261111111111112,135.39527777777778"
14157,Rui Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.601388888888889,135.44055555555556"
14506,Sampokar,"",PAPUA,Kab. SUPIORI,"",,"-0.7583333333333333,135.42638888888888"
14014,Anggrameos,"",PAPUA,Kab. NABIRE,"",,"-2.704166666666667,134.83333333333334"
14150,Pasibui,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.4719444444444445,135.1263888888889"
14105,Kaifui Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.9261111111111109,136.32666666666665"
14159,Sarwandori,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.8703369444444444,136.1906175"
14307,Sapomi,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.1900113888888888,136.09339555555556"
14063,Aiwar,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.483888888888889,135.01"
14363,Arfui,"",PAPUA,Kab. SUPIORI,"",,"-0.8341666666666667,135.49555555555554"
14228,Biak,"",PAPUA,Kab. BIAK NUMFOR,"",,"-0.9450350000000001,135.93614333333335"
14010,Aamone,"",PAPUA,Kab. NABIRE,"",,"-3.0266666666666664,134.82805555555555"
14434,Inumberi Kasun,"",PAPUA,Kab. SUPIORI,"",,"-0.7599797222222222,135.46925972222223"
14481,Mnudu,"",PAPUA,Kab. SUPIORI,"",,"-0.6494444444444444,135.42499999999998"
14498,Pomi,"",PAPUA,Kab. SUPIORI,"",,"-0.7410469444444444,135.41097277777777"
