Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
8317,Liambawo Kecil,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.91615,122.76045"
8729,Tukohtetera,"",SULAWESI TENGGARA,Kab. KONAWE UTARA,"","","-3.386375277777778,122.29347916666667"
8551,Kokomo,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.54,123.86888888888888"
8443,La Kuteeno,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.669722222222222,122.73333333333333"
8697,Labengki Kecil,"",SULAWESI TENGGARA,Kab. KONAWE UTARA,"","","-3.4844580555555558,122.48475444444445"
8453,Matea,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.317222222222222,122.4225"
8517,Talinga,"",SULAWESI TENGGARA,Kab. BOMBANA,"","","-5.187711944444445,121.81740666666666"
8577,Loho Kiikii,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.423333333333334,123.59555555555555"
8550,Kerakera,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.540277777777778,123.86972222222222"
8413,Wapuane Luar,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.901666666666667,122.76944444444445"
8710,Parindang ,"",SULAWESI TENGGARA,Kab. KONAWE UTARA,"","","-3.4861791666666666,122.49083333333333"
8369,Pasipibangkawang,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.688888888888889,122.33111111111111"
8545,Kapota,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.352781388888888,123.49360638888889"
8429,Bungi Napa,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.549444444444444,122.47416666666666"
8313,Lawulandi Kecil,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.916666666666667,122.76694444444445"
8504,Damalawa Kecil,"",SULAWESI TENGGARA,Kab. BOMBANA,"","","-5.321111111111111,122.05499999999999"
8261,Djongkere Kecil,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.915,122.7625"
8427,Bungaitundu Dua,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.165,123.07027777777778"
8348,Mbangkele Utara,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.91,122.76104"
8287,Kodadarano Tengah,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.885,122.75861111111111"
8531,Binongko,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.945015000000001,124.02430861111111"
8543,Kalipopo,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.55,123.87083333333332"
8381,Sampalu Kecil,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.928833333333333,122.75593333333333"
8562,Lamadi,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.462240833333333,123.7779075"
8558,Lakantore,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.423611111111112,123.59805555555555"
8392,Tasipi,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.621666666666667,122.33444444444444"
8640,Usuusu,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.4752777777777775,123.77805555555555"
8386,Sangialanologhia,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.885555555555555,122.74388888888889"
8671,Ulusuo Biccue,"",SULAWESI TENGGARA,Kab. KOLAKA UTARA,"","","-2.965277777777778,121.0761111111111"
8720,Tukohmadialang,"",SULAWESI TENGGARA,Kab. KONAWE UTARA,"","","-3.468888888888889,122.48861111111111"
8237,Bakuku,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.643686944444444,122.58973666666667"
8468,Cempedak Atas,"",SULAWESI TENGGARA,Kab. KONAWE SELATAN,"","","-4.1812169444444445,122.90615805555557"
8607,Sampua Bahili Assa,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.5905555555555555,123.82027777777778"
8282,Katela,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.701666666666667,122.47888888888889"
8424,Batumandawu Satu,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.69,122.72805555555556"
8428,Bungaitundu Satu,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.165690833333334,123.0699775"
8575,Lentea,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.575881944444444,123.85270805555555"
8588,Niga,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.476944444444444,123.77722222222222"
8221,Laburoko,"",SULAWESI TENGGARA,Kab. KOLAKA,"","","-3.911111111111111,121.23027777777779"
8434,Kafaoleale,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.3774999999999995,122.48861111111111"
8481,Palioboru Kecil,"",SULAWESI TENGGARA,Kab. KONAWE SELATAN,"","","-4.1305555555555555,122.82944444444443"
8515,Sagori,"",SULAWESI TENGGARA,Kab. BOMBANA,"","","-5.343055555555555,121.75944444444444"
8739,Peropaea,"",SULAWESI TENGGARA,Kab. BUTON UTARA,"","","-4.851348611111111,123.11206916666666"
