Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
7068,Bakum,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.9078202777777777,123.637465"
6906,Boba,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-1.7186111111111113,121.8586111111111"
6852,Simatang,"",SULAWESI TENGAH,Kab. TOLI-TOLI,"","","1.0427777777777778,120.38388888888889"
7080,Bangkurung,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.8272222222222223,123.09888888888888"
7573,Karina Utara,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.33555555555555555,121.89583333333334"
7445,Batulumoto,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.37555555555555553,121.79083333333332"
6933,Jen,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.2013888888888893,122.43111111111112"
7065,Bakakang Kecil,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.573888888888889,123.45833333333334"
7383,Dii,"",SULAWESI TENGAH,Kab. PARIGI MOUTONG,"","","-0.4577777777777778,120.08611111111111"
7676,Mmbo Rakimang,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.43222222222222223,122.07416666666666"
7118,Botuki,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.6265491666666667,123.18435361111112"
7779,Siatu,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4777777777777778,121.69552527777778"
6819,Awoawo,"",SULAWESI TENGAH,Kab. TOLI-TOLI,"","","0.7569444444444444,120.575"
7121,Boyoko Dua Togong,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.4455555555555555,123.25944444444444"
7551,Kadidiri Kecil,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.3522222222222222,121.84833333333333"
7340,Tinakinlaut Dalam,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.601388888888889,123.48805555555556"
7798,Tabudurian,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.5047222222222222,121.84777777777778"
6835,Luang Dalam,"",SULAWESI TENGAH,Kab. TOLI-TOLI,"","","0.8247222222222222,120.60166666666666"
7846,Tondongi Satu ,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.5186111111111111,121.66899055555557"
6971,Mahode,"",SULAWESI TENGAH,Kab. MOROWALI,"","","-3.343055555555556,122.39250000000001"
7064,Bakakang Kecil Timur,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.5819444444444444,123.455"
6841,Paligisan,"",SULAWESI TENGAH,Kab. TOLI-TOLI,"","","1.0486111111111112,120.66694444444445"
7127,Bulutan,"",SULAWESI TENGAH,Kab. BANGGAI KEPULAUAN,"","","-1.9851322222222223,123.49459916666667"
7721,Panabali,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.33999999999999997,121.99777777777778"
7868,Tupu Satu,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.5000769444444444,121.7426025"
6808,Pippeng,"",SULAWESI TENGAH,Kab. DONGGALA,"","","-0.020277777777777777,119.7875"
6849,Sambujang,"",SULAWESI TENGAH,Kab. TOLI-TOLI,"","","0.986111111111111,120.68916666666667"
6749,Boe,"",SULAWESI TENGAH,Kab. BANGGAI,"","","-0.5644444444444445,122.58"
7462,Boko,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.4405555555555556,122.10138888888888"
7472,Bulanto,"",SULAWESI TENGAH,Kab. TOJO UNA-UNA,"","","-0.47636,121.68898861111111"
